Date,Impressions
2026-06-09,58
2026-06-10,47
2026-06-11,48
2026-06-12,31
2026-06-13,52
2026-06-14,40
2026-06-15,52
2026-06-16,63
2026-06-17,53
2026-06-18,55
2026-06-19,23
2026-06-20,31
2026-06-21,47
2026-06-22,76
2026-06-23,71
2026-06-24,70
2026-06-25,59
2026-06-26,40
2026-06-27,41
2026-06-28,68
2026-06-29,96
2026-06-30,93
2026-07-01,72
2026-07-02,76
2026-07-03,45
2026-07-04,66
2026-07-05,94
2026-07-06,133
2026-07-07,80
2026-07-08,99
2026-07-09,118
2026-07-10,60
2026-07-11,45
2026-07-12,252
2026-07-13,85
2026-07-14,149
2026-07-15,153
2026-07-16,95
2026-07-17,65
2026-07-18,49
2026-07-19,85
2026-07-20,98
2026-07-21,107
2026-07-22,289
2026-07-23,76
2026-07-24,76
2026-07-25,237
2026-07-26,117
2026-07-27,179
2026-07-28,125
2026-07-29,113
2026-07-30,103
2026-07-31,54
2026-08-01,55
2026-08-02,104
2026-08-03,104
2026-08-04,117
2026-08-05,125
2026-08-06,91
2026-08-07,47
2026-08-08,44
2026-08-09,76
2026-08-10,109
2026-08-11,93
2026-08-12,88
2026-08-13,99
2026-08-14,36
2026-08-15,54
2026-08-16,87
2026-08-17,83
2026-08-18,88
2026-08-19,88
2026-08-20,101
2026-08-21,56
2026-08-22,43
2026-08-23,92
2026-08-24,88
2026-08-25,75
2026-08-26,80
2026-08-27,105
2026-08-28,58
2026-08-29,61
2026-08-30,105
2026-08-31,116
2026-09-01,150
2026-09-02,95
2026-09-03,68
2026-09-04,36
2026-09-05,36
2026-09-06,76
2026-09-07,78
2026-09-08,149
