Country,Impressions
Australia,6867
United States,228
United Kingdom,126
Indonesia,81
Philippines,74
India,59
New Zealand,28
Malaysia,23
South Africa,22
Brazil,19
Pakistan,16
Vietnam,16
Czechia,15
Kenya,14
Germany,13
Singapore,13
Thailand,12
Greece,11
Nepal,10
United Arab Emirates,9
Canada,9
Israel,9
Spain,8
Italy,8
Netherlands,8
Ireland,7
Sri Lanka,7
Nigeria,7
Switzerland,6
Fiji,6
France,6
Hong Kong,6
Poland,6
Portugal,6
Bangladesh,5
Ghana,5
Cambodia,5
Saudi Arabia,5
South Korea,4
Russia,4
Turkey,4
Argentina,3
Chile,3
China,3
Colombia,3
Denmark,3
Japan,3
Taiwan,3
Austria,2
Belgium,2
Bulgaria,2
Costa Rica,2
Estonia,2
Ethiopia,2
Hungary,2
Lebanon,2
Morocco,2
Mexico,2
Qatar,2
Romania,2
Sweden,2
Afghanistan,1
Albania,1
Antigua & Barbuda,1
Bahrain,1
Barbados,1
Ecuador,1
Egypt,1
Finland,1
Guam,1
Honduras,1
Croatia,1
Iran,1
Kazakhstan,1
Lesotho,1
Lithuania,1
Latvia,1
Macau,1
Moldova,1
Malta,1
Myanmar (Burma),1
Peru,1
Puerto Rico,1
Paraguay,1
Slovakia,1
Slovenia,1
Syria,1
Uganda,1
Ukraine,1
Uruguay,1
Uzbekistan,1
Zambia,1
